City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Pisco,PE,2022-04-03 22:30:59,-13.7,-76.2167,69.85,78,0,20.71,clear sky
60,Bredasdorp,ZA,2022-04-03 22:25:34,-34.5322,20.0403,60.49,91,39,0.65,scattered clouds
61,Sidney,AU,2022-04-03 22:28:39,-33.8679,151.2073,68.4,60,0,6.91,clear sky
62,Saldanha,ZA,2022-04-03 22:24:37,-33.0117,17.9442,57.25,81,0,8.37,clear sky
63,Nhulunbuy,AU,2022-04-03 22:31:00,-12.2333,136.7667,79.41,83,64,0.0,broken clouds
64,Norman Wells,CA,2022-04-03 22:27:44,65.282,-126.8329,3.24,55,75,3.44,broken clouds
65,Poninka,UA,2022-04-03 22:31:00,50.1849,27.5363,27.14,90,98,11.48,overcast clouds
66,Chokurdakh,RU,2022-04-03 22:31:00,70.6333,147.9167,-9.35,97,80,3.76,broken clouds
67,Garissa,KE,2022-04-03 22:31:01,-0.4536,39.6401,81.27,69,98,13.38,overcast clouds
68,Tiksi,RU,2022-04-03 22:25:25,71.6872,128.8694,4.59,98,100,7.4,overcast clouds
69,Sitka,US,2022-04-03 22:28:56,57.0531,-135.33,42.69,61,75,18.41,broken clouds
70,Daru,PG,2022-04-03 22:31:01,-9.0763,143.2092,83.3,72,27,6.15,scattered clouds
71,Severo-Kurilsk,RU,2022-04-03 22:25:05,50.6789,156.125,33.3,87,23,11.81,few clouds
72,Ponta Do Sol,PT,2022-04-03 22:27:43,32.6667,-17.1,61.43,78,100,13.8,overcast clouds
73,Provideniya,RU,2022-04-03 22:25:21,64.3833,-173.3,10.51,67,0,13.42,clear sky
74,Sombrerete,MX,2022-04-03 22:31:02,23.6333,-103.65,77.43,9,10,22.95,clear sky
75,Gladstone,AU,2022-04-03 22:28:13,-23.85,151.25,76.93,73,22,6.91,few clouds
76,Ilulissat,GL,2022-04-03 22:27:42,69.2167,-51.1,30.22,74,18,6.91,few clouds
77,Kaitangata,NZ,2022-04-03 22:23:29,-46.2817,169.8464,55.31,75,93,4.99,overcast clouds
78,Praia,CV,2022-04-03 22:28:54,14.9215,-23.5087,70.36,75,33,12.35,scattered clouds
79,Avarua,CK,2022-04-03 22:26:39,-21.2078,-159.775,80.65,83,100,5.75,overcast clouds
80,Berlevag,NO,2022-04-03 22:31:02,70.8578,29.0864,24.6,93,100,19.8,snow
81,Hilo,US,2022-04-03 22:27:48,19.7297,-155.09,75.25,84,100,10.36,light rain
82,Kurumkan,RU,2022-04-03 22:31:02,54.3,110.3,7.9,89,35,4.21,scattered clouds
83,Padang,ID,2022-04-03 22:31:03,-0.9492,100.3543,75.63,83,23,4.45,few clouds
84,Maceio,BR,2022-04-03 22:31:04,-9.6658,-35.7353,78.24,83,40,5.75,scattered clouds
85,Marrakesh,MA,2022-04-03 22:30:01,31.6315,-8.0083,59.07,72,75,6.91,broken clouds
86,Souillac,MU,2022-04-03 22:23:26,-20.5167,57.5167,79.18,83,75,11.5,broken clouds
87,Kloulklubed,PW,2022-04-03 22:29:00,7.0419,134.2556,77.5,78,100,5.68,light rain
88,Cape Town,ZA,2022-04-03 22:26:32,-33.9258,18.4232,62.28,87,20,3.44,few clouds
89,Port Alfred,ZA,2022-04-03 22:26:31,-33.5906,26.891,66.18,93,97,11.72,overcast clouds
90,Salalah,OM,2022-04-03 22:27:40,17.0151,54.0924,78.89,73,20,4.61,few clouds
91,Nishihara,JP,2022-04-03 22:31:04,26.1842,127.7558,63.68,73,0,11.5,clear sky
92,Yar-Sale,RU,2022-04-03 22:27:39,66.8333,70.8333,10.94,90,100,13.35,overcast clouds
93,Mmabatho,ZA,2022-04-03 22:31:05,-25.85,25.6333,58.96,94,100,8.05,light rain
94,Moa,CU,2022-04-03 22:31:05,20.6569,-74.9403,78.28,82,52,6.82,broken clouds
95,Ribeira Grande,PT,2022-04-03 22:28:49,38.5167,-28.7,60.46,78,49,10.07,scattered clouds
96,Bambous Virieux,MU,2022-04-03 22:31:06,-20.3428,57.7575,79.05,83,75,11.5,broken clouds
97,Zhanakorgan,KZ,2022-04-03 22:31:06,43.9098,67.2495,62.94,32,56,6.11,broken clouds
98,Tornio,FI,2022-04-03 22:31:06,65.8481,24.1466,8.62,97,53,3.76,broken clouds
99,Oriximina,BR,2022-04-03 22:30:08,-1.7656,-55.8661,74.59,96,98,2.91,overcast clouds
100,Clyde River,CA,2022-04-03 22:31:07,70.4692,-68.5914,8.83,85,0,6.91,clear sky
101,Saint-Francois,FR,2022-04-03 22:31:07,46.4154,3.9054,36.84,70,0,5.75,clear sky
102,Saint Anthony,US,2022-04-03 22:26:36,45.0205,-93.218,39.13,81,100,11.5,overcast clouds
103,Tiznit,MA,2022-04-03 22:31:07,29.5833,-9.5,58.06,61,21,0.54,few clouds
104,Narsaq,GL,2022-04-03 22:30:18,60.9167,-46.05,41.22,84,100,1.03,overcast clouds
105,Butaritari,KI,2022-04-03 22:23:51,3.0707,172.7902,81.46,70,86,14.74,overcast clouds
106,Kerema,PG,2022-04-03 22:31:08,-7.9631,145.7785,81.59,72,72,3.27,broken clouds
107,Karratha,AU,2022-04-03 22:28:55,-20.7377,116.8463,79.66,70,0,8.21,clear sky
108,Cayenne,GF,2022-04-03 22:27:42,4.9333,-52.3333,80.1,1,100,4.61,overcast clouds
109,Atuona,PF,2022-04-03 22:22:46,-9.8,-139.0333,79.88,72,52,21.45,broken clouds
110,East London,ZA,2022-04-03 22:25:10,-33.0153,27.9116,71.11,88,69,12.5,broken clouds
111,Kamaishi,JP,2022-04-03 22:31:09,39.2667,141.8833,48.38,83,99,7.0,light rain
112,Vardo,NO,2022-04-03 22:25:19,70.3705,31.1107,27.28,68,88,10.69,overcast clouds
113,La Tuque,CA,2022-04-03 22:30:48,47.4334,-72.7824,41.25,42,100,8.05,overcast clouds
114,Qaanaaq,GL,2022-04-03 22:28:52,77.484,-69.3632,12.85,72,72,6.78,broken clouds
115,Neubrandenburg,DE,2022-04-03 22:26:30,53.5667,13.2667,33.93,92,62,12.73,broken clouds
116,Ongandjera,NA,2022-04-03 22:31:10,-17.8833,15.0667,69.48,68,74,4.79,broken clouds
117,Byron Bay,AU,2022-04-03 22:27:53,-28.65,153.6167,65.71,89,97,1.54,light rain
118,Tocopilla,CL,2022-04-03 22:25:20,-22.092,-70.1979,70.03,67,21,9.66,few clouds
119,Kwekwe,ZW,2022-04-03 22:31:10,-18.9281,29.8149,63.0,81,36,1.72,scattered clouds
120,Castro,BR,2022-04-03 22:21:55,-24.7911,-50.0119,65.14,92,80,4.88,broken clouds
121,Mitsamiouli,KM,2022-04-03 22:31:10,-11.3847,43.2844,81.5,74,13,4.03,few clouds
122,Rio Gallegos,AR,2022-04-03 22:31:11,-51.6226,-69.2181,46.45,46,0,25.32,clear sky
123,Saskylakh,RU,2022-04-03 22:28:54,71.9167,114.0833,-6.7,98,100,10.65,overcast clouds
124,Mount Gambier,AU,2022-04-03 22:30:03,-37.8333,140.7667,49.91,100,75,4.61,broken clouds
125,Tuktoyaktuk,CA,2022-04-03 22:31:11,69.4541,-133.0374,-16.6,69,20,5.75,few clouds
126,Cajati,BR,2022-04-03 22:31:12,-24.7361,-48.1228,71.6,95,82,2.53,broken clouds
127,Torbay,CA,2022-04-03 22:21:55,47.6666,-52.7314,38.57,81,40,31.07,scattered clouds
128,Pevek,RU,2022-04-03 22:24:47,69.7008,170.3133,-12.87,92,22,2.28,few clouds
129,Pandan,PH,2022-04-03 22:31:12,14.0453,124.1694,79.07,82,76,14.65,broken clouds
130,Ivanteyevka,RU,2022-04-03 22:31:13,55.9711,37.9208,26.26,93,100,5.5,overcast clouds
131,Sorong,ID,2022-04-03 22:31:13,-0.8833,131.25,79.61,82,100,6.13,overcast clouds
132,Drabiv,UA,2022-04-03 22:31:13,49.963,32.1529,33.08,82,100,12.91,overcast clouds
133,Zhanaozen,KZ,2022-04-03 22:31:14,43.3,52.8,55.83,56,74,9.31,broken clouds
134,Larnaca,CY,2022-04-03 22:29:14,34.9167,33.6292,67.95,36,0,6.91,clear sky
135,Cherskiy,RU,2022-04-03 22:26:18,68.75,161.3,-0.63,93,100,5.1,overcast clouds
136,Nantucket,US,2022-04-03 22:26:50,41.2835,-70.0995,46.51,88,100,8.05,moderate rain
137,Mata,PT,2022-04-03 22:31:14,40.683,-7.4592,37.96,57,11,14.34,few clouds
138,Sola,VU,2022-04-03 22:25:23,-13.8833,167.55,80.08,76,100,11.74,overcast clouds
139,College,US,2022-04-03 22:28:25,64.8569,-147.8028,26.22,56,75,5.75,broken clouds
140,Agua Verde,MX,2022-04-03 22:31:15,22.9,-106.05,77.09,69,9,8.57,clear sky
141,Honningsvag,NO,2022-04-03 22:31:15,70.9821,25.9704,28.15,50,20,11.5,few clouds
142,Stornoway,GB,2022-04-03 22:30:11,58.2093,-6.3865,49.96,94,100,23.02,overcast clouds
143,Kochinda,IN,2022-04-03 22:31:16,21.7333,84.35,71.31,83,7,6.17,clear sky
144,Hermanus,ZA,2022-04-03 22:28:51,-34.4187,19.2345,58.8,90,8,6.93,light rain
145,Catuday,PH,2022-04-03 22:30:38,16.2923,119.8062,78.35,70,84,7.56,broken clouds
146,Husavik,IS,2022-04-03 22:28:51,66.0449,-17.3389,28.53,94,100,11.3,light snow
147,Mar Del Plata,AR,2022-04-03 22:26:16,-38.0023,-57.5575,59.02,63,75,18.01,broken clouds
148,Alofi,NU,2022-04-03 22:31:16,-19.0595,-169.9187,85.89,66,64,5.75,broken clouds
