City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Doka,SD,89.1,few clouds,13.5167,35.7667,Um Rakuba Refugee Camp
212,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
213,Isla Mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
214,Sao Joao Da Barra,BR,75.81,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
216,Codrington,AU,61.45,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
217,San Patricio,US,85.15,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
219,Karaton,ID,72.86,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
221,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
223,Stephenville,US,87.17,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
224,Angoche,MZ,77.16,clear sky,-16.2325,39.9086,Guest House HESADA
225,Douglas,US,62.31,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
231,Amahai,ID,80.2,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
232,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
234,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
243,San Quintin,MX,63.05,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
246,Tahta,EG,80.24,overcast clouds,26.7693,31.5021,فندق الزيات
247,Matara,LK,76.51,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
248,San Juan,AR,67.84,few clouds,-31.5375,-68.5364,Hotel Provincial
251,Itarema,BR,77.43,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
252,Sao Benedito Do Rio Preto,BR,74.79,broken clouds,-3.3336,-43.5283,João de Barro Hotel
253,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
254,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
255,Marawi,PH,67.32,overcast clouds,7.9986,124.2928,Derogongan Residence
257,Warri,NG,78.91,overcast clouds,5.5167,5.75,BON Hotel Delta
258,Tobane,BW,77.07,overcast clouds,-21.95,27.9,Mediterranean Deep Hotels
262,Ixtapa,MX,78.03,few clouds,20.7,-105.2,hotel la terminal
263,Kavieng,PG,82.29,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
266,Lorengau,PG,81.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
267,Oussouye,SN,71.78,overcast clouds,12.485,-16.5469,Auberge du Routard
268,Riberalta,BO,80.8,broken clouds,-10.9833,-66.1,Hotel Colonial
269,Aduturai,IN,77.25,broken clouds,11.0147,79.4791,Mantra Koodam - CGH Earth
270,Santa Rosa,PH,80.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
271,College Place,US,64.22,broken clouds,46.0493,-118.3883,"Holiday Inn Express Walla Walla, an IHG Hotel"
273,Matay,EG,69.48,few clouds,28.419,30.7792,Nag Aespen
274,Jalu,LY,74.64,clear sky,29.0331,21.5482,صاحبة الفخامة
275,Effingham,US,77.45,clear sky,32.3669,-81.3332,Countryside Village
278,Ulladulla,AU,67.1,overcast clouds,-35.35,150.4667,Sandpiper Motel
280,Dunedin,NZ,60.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
282,Burnie,AU,63.86,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
285,Bunia,CD,65.23,overcast clouds,1.5667,30.25,Gold Star International Hotel
291,Pontal Do Parana,BR,71.98,broken clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
292,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
295,Christchurch,NZ,63.0,overcast clouds,-43.5333,172.6333,The George
296,Lima,PE,68.25,clear sky,-12.0432,-77.0282,Hotel Kamana
298,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
299,Maumere,ID,79.12,scattered clouds,-8.6199,122.2111,Sylvia Hotel
300,Kennett,US,67.24,clear sky,36.2362,-90.0556,Americas Best Value Inn Kennett
304,Teguise,ES,61.02,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
305,Caravelas,BR,76.73,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
307,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
308,Port-Gentil,GA,81.25,broken clouds,-0.7193,8.7815,Fengshui Residence
310,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
312,Paita,PE,73.51,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
314,Samarai,PG,82.17,broken clouds,-10.6167,150.6667,Nuli Sapi
317,Abu Dhabi,AE,73.96,broken clouds,24.4667,54.3667,Beach Rotana
325,Touros,BR,77.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
329,Quatre Cocos,MU,78.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
331,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
333,Bowen,AU,81.01,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
334,Satipo,PE,74.71,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
336,Dong Hoi,VN,64.69,overcast clouds,17.4833,106.6,Nam Long Hotel
337,Tucumcari,US,75.04,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
338,La Reforma,MX,74.19,scattered clouds,25.0833,-108.05,Hotel Reforma
340,Celestun,MX,80.78,broken clouds,20.8667,-90.4,Posada Lilia
342,Phonhong,LA,63.97,scattered clouds,18.5007,102.4166,Manyvong Guest House
346,Ambanja,MG,72.5,light rain,-13.6833,48.45,Hotel Salama and Fast Food
349,Tautira,PF,82.08,scattered clouds,-17.7333,-149.15,Pension Oaoa
350,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
360,Pawa,PH,78.19,scattered clouds,13.1747,123.7328,Hotel St. Ellis
362,Mareeba,AU,77.43,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
365,Kihei,US,80.62,scattered clouds,20.785,-156.4656,Maui Sunset
368,Muborak,UZ,64.51,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
371,Flinders,AU,68.25,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
372,Auki,SB,79.25,overcast clouds,-8.7676,160.7034,Auki Motel
375,Prata,BR,77.77,overcast clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
376,Cariacica,BR,81.79,few clouds,-20.2639,-40.42,Recanto da Vivi
377,Trinidad,BO,84.18,scattered clouds,-14.8333,-64.9,Hotel Piesta
378,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
381,Arlit,NE,87.71,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
382,Sao Jose Da Coroa Grande,BR,78.49,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
384,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
385,Ipora,BR,76.42,broken clouds,-16.4419,-51.1178,Oásis Motel
386,Kupang,ID,76.23,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
387,Gardabani,GE,64.49,overcast clouds,41.4605,45.0928,Namig gurbanov
389,Mugumu,TZ,60.28,overcast clouds,-1.85,34.7,Lemala Mara
396,Tecoanapa,MX,83.01,scattered clouds,16.5167,-98.75,Hotel Manglares
397,Tamiahua,MX,78.44,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
400,Mporokoso,ZM,61.7,overcast clouds,-9.3727,30.125,Government Guest House
402,Dolores,AR,63.88,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
403,Harer,ET,61.95,overcast clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
404,Brasilia De Minas,BR,72.93,light rain,-16.2064,-44.4333,Hotel Neris
405,Sabya,SA,82.02,few clouds,17.1495,42.6254,Aseel Hotel Apartment
409,Kandrian,PG,82.0,overcast clouds,-6.2167,149.55,Kandrian Station
411,Labrea,BR,76.33,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
413,Taltal,CL,66.72,few clouds,-25.4,-70.4833,Residencial Karime
416,Itapirapua,BR,78.55,broken clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
417,Kintampo,GH,74.59,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
420,Meulaboh,ID,74.07,overcast clouds,4.1363,96.1285,Kost Pria
424,Atambua,ID,74.28,few clouds,-9.1061,124.8925,Kost Alfa Flat
425,Ca Mau,VN,76.44,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
426,Te Anau,NZ,61.16,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
428,Kawambwa,ZM,62.4,broken clouds,-9.7915,29.0791,Chembe Nsofu
429,Ormara,PK,76.84,clear sky,25.2088,64.6357,Kenara Colony house for Rent
433,Mutare,ZW,63.05,broken clouds,-18.9707,32.6709,Ann Bruce Backpackers
436,Dwarka,IN,77.49,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
438,Soyo,AO,78.26,scattered clouds,-6.1349,12.3689,Hotel Mpampa
440,Ozark,US,68.58,overcast clouds,37.0209,-93.206,Days Inn by Wyndham Ozark Springfield
441,Kuantan,MY,77.11,scattered clouds,3.8077,103.326,Hotel Sentral Kuantan
442,Coolum Beach,AU,77.11,scattered clouds,-26.5333,153.1,Coolum Beach Resort
446,Isangel,VU,83.1,overcast clouds,-19.55,169.2667,Tanna Lodge
448,Cananeia,BR,73.24,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
449,Mwene-Ditu,CD,65.66,moderate rain,-7.0,23.45,Hôtel Kamas
450,Telemaco Borba,BR,65.05,scattered clouds,-24.3239,-50.6156,Vespasiano Hotel Telêmaco Borba
451,Mogadishu,SO,81.1,broken clouds,2.0371,45.3438,Hotel Juba
454,Cruzeiro Do Sul,BR,70.5,overcast clouds,-29.5128,-51.9853,Estrela Palace Hotel
456,Guerrero Negro,MX,65.68,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
457,Sibolga,ID,74.64,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
458,Bentiu,SS,85.59,broken clouds,9.2333,29.8333,Mandela hôtel
462,Sambava,MG,74.98,overcast clouds,-14.2667,50.1667,Melrose
466,Riverton,US,63.19,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
468,Payyannur,IN,78.58,broken clouds,12.1,75.2,Kavvayi Beach House
470,Launceston,AU,63.81,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
471,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
472,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
474,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
475,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
